indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-200,FRANCE,2022-05-31,NAT,69,,,,,
IND-200,FRANCE,2023-03-31,NAT,,80,,100,,
IND-200,FRANCE,2023-12-31,NAT,,,74,,,
IND-200,FRANCE,2024-12-31,NAT,,,76,,,
IND-200,FRANCE,2025-12-31,NAT,,,78,,,
IND-200,FRANCE,2026-12-31,NAT,,,80,,,
IND-200,R01,2022-05-31,REG,86,,,,,
IND-200,R01,2023-03-31,REG,,55.00000000000001,,,,
IND-200,R02,2022-05-31,REG,54,,,,,
IND-200,R02,2023-03-31,REG,,92,,,,
IND-200,R03,2022-05-31,REG,19,,,,,
IND-200,R03,2023-03-31,REG,,33,,,,
IND-200,R04,2022-05-31,REG,68,,,,,
IND-200,R04,2023-03-31,REG,,79,,,,
IND-200,R06,2022-05-31,REG,6,,,,,
IND-200,R06,2023-03-31,REG,,11,,,,
IND-200,R11,2022-05-31,REG,82,,,,,
IND-200,R11,2023-03-31,REG,,83,,,,
IND-200,R24,2022-05-31,REG,85,,,,,
IND-200,R24,2023-03-31,REG,,89,,,,
IND-200,R27,2022-05-31,REG,78,,,,,
IND-200,R27,2023-03-31,REG,,81,,,,
IND-200,R28,2022-05-31,REG,80,,,,,
IND-200,R28,2023-03-31,REG,,79,,,,
IND-200,R32,2022-05-31,REG,80,,,,,
IND-200,R32,2023-03-31,REG,,82,,,,
IND-200,R44,2022-05-31,REG,75,,,,,
IND-200,R44,2023-03-31,REG,,72,,,,
IND-200,R52,2022-05-31,REG,79,,,,,
IND-200,R52,2023-03-31,REG,,82,,,,
IND-200,R53,2022-05-31,REG,92,,,,,
IND-200,R53,2023-03-31,REG,,93,,,,
IND-200,R75,2022-05-31,REG,82,,,,,
IND-200,R75,2023-03-31,REG,,83,,,,
IND-200,R76,2022-05-31,REG,75,,,,,
IND-200,R76,2023-03-31,REG,,78,,,,
IND-200,R84,2022-05-31,REG,74,,,,,
IND-200,R84,2023-03-31,REG,,73,,,,
IND-200,R93,2022-05-31,REG,81,,,,,
IND-200,R93,2023-03-31,REG,,81,,,,
IND-200,R94,2022-05-31,REG,37,,,,,
IND-200,R94,2023-03-31,REG,,37,,,,
